listing_id,body_type,city,latitude,longitude,main_picture_url,transmission,theft_title,vehicle_damage_category,power,isCab,fleet
237132766,SUV / Crossover,Bayamon,18.3988,-66.1582,https://static.cargurus.com/images/forsale/2020/05/18/18/53/2019_jeep_renegade-pic-3296019950109819645-152x114.jpeg,A,,,"177 hp @ 5,750 RPM",,
265946296,SUV / Crossover,San Juan,18.4439,-66.0785,https://static.cargurus.com/images/forsale/2020/05/15/18/25/2020_land_rover_discovery_sport-pic-3854830367929838997-152x114.jpeg,A,,,"246 hp @ 5,500 RPM",,
173473508,Sedan,Guaynabo,18.3467,-66.1098,,M,FALSE,,"305 hp @ 6,000 RPM",FALSE,FALSE
266911050,SUV / Crossover,San Juan,18.4439,-66.0785,https://static.cargurus.com/images/forsale/2020/05/18/20/55/2020_land_rover_discovery-pic-3571104253551947583-152x114.jpeg,A,,,"340 hp @ 6,500 RPM",,
270957414,SUV / Crossover,San Juan,18.4439,-66.0785,https://static.cargurus.com/images/forsale/2020/07/19/01/27/2020_land_rover_discovery_sport-pic-2859722089486346228-152x114.jpeg,A,,,"246 hp @ 5,500 RPM",,
262940541,SUV / Crossover,San Juan,18.4439,-66.0785,https://static.cargurus.com/images/forsale/2020/05/18/20/55/2020_land_rover_range_rover_velar-pic-8429547440869393875-152x114.jpeg,A,FALSE,,"247 hp @ 5,500 RPM",FALSE,FALSE
244110426,Sedan,Bayamon,18.3988,-66.1582,https://static.cargurus.com/images/forsale/2019/02/20/17/08/2019_mazda_mazda3-pic-307344583231226018-152x114.jpeg,A,,,"186 hp @ 6,000 RPM",,
275458784,SUV / Crossover,San Juan,18.4439,-66.0785,https://static.cargurus.com/images/forsale/2020/07/18/23/23/2020_land_rover_range_rover_velar-pic-4574376849965700020-152x114.jpeg,A,,,"247 hp @ 5,500 RPM",,
266911040,SUV / Crossover,San Juan,18.4439,-66.0785,https://static.cargurus.com/images/forsale/2020/05/18/20/55/2020_land_rover_discovery_sport-pic-3027506044570298028-152x114.jpeg,A,,,"246 hp @ 5,500 RPM",,
238225156,SUV / Crossover,San Juan,18.4439,-66.0785,https://static.cargurus.com/images/forsale/2020/05/15/20/27/2020_land_rover_range_rover_evoque-pic-5909390658865522284-152x114.jpeg,A,FALSE,,"296 hp @ 5,500 RPM",FALSE,FALSE
171865107,Coupe,Guaynabo,18.3467,-66.1098,https://static.cargurus.com/images/forsale/2017/04/18/18/55/2015_alfa_romeo_4c-pic-5436617585836482578-152x114.jpeg,A,FALSE,,"237 hp @ 6,000 RPM",FALSE,FALSE
268609420,SUV / Crossover,San Juan,18.4439,-66.0785,https://static.cargurus.com/images/forsale/2020/05/18/18/53/2020_land_rover_range_rover_evoque-pic-4840738600105688260-152x114.jpeg,A,,,"246 hp @ 5,500 RPM",,
173473505,Sedan,Guaynabo,18.3467,-66.1098,https://static.cargurus.com/images/forsale/2017/04/28/19/21/2016_bmw_3_series-pic-3309450928448552030-152x114.jpeg,A,FALSE,,"320 hp @ 5,500 RPM",FALSE,FALSE
266454434,SUV / Crossover,San Juan,18.4439,-66.0785,https://static.cargurus.com/images/forsale/2020/05/19/19/08/2020_land_rover_range_rover_velar-pic-4444348190101517847-152x114.jpeg,A,,,"247 hp @ 5,500 RPM",,
244110428,Sedan,Bayamon,18.3988,-66.1582,https://static.cargurus.com/images/forsale/2019/03/08/17/26/2019_mazda_mazda3-pic-8969145182334044642-152x114.jpeg,A,,,"186 hp @ 6,000 RPM",,
244110438,Sedan,Bayamon,18.3988,-66.1582,https://static.cargurus.com/images/forsale/2019/03/08/17/26/2019_mazda_mazda3-pic-8969145182334044642-152x114.jpeg,A,,,"186 hp @ 6,000 RPM",,
267851174,SUV / Crossover,San Juan,18.4439,-66.0785,https://static.cargurus.com/images/forsale/2020/05/18/18/53/2020_land_rover_discovery_sport-pic-1295212371223012285-152x114.jpeg,A,,,"246 hp @ 5,500 RPM",,
279794909,SUV / Crossover,San Juan,18.4439,-66.0785,https://static.cargurus.com/images/forsale/2019/11/14/20/13/2020_land_rover_range_rover_velar-pic-6925208566497109919-152x114.jpeg,A,,,"247 hp @ 5,500 RPM",,
280451806,SUV / Crossover,San Juan,18.4439,-66.0785,https://static.cargurus.com/images/forsale/2019/11/15/07/28/2020_land_rover_range_rover_velar-pic-3753375315754484487-152x114.jpeg,A,,,"247 hp @ 5,500 RPM",,
263868330,SUV / Crossover,San Juan,18.4439,-66.0785,https://static.cargurus.com/images/forsale/2020/05/18/18/53/2020_land_rover_discovery_sport-pic-1059067303743162028-152x114.jpeg,A,,,"246 hp @ 5,500 RPM",,
