listing_id,vin,back_legroom,bed,bed_height,bed_length,cabin,engine_cylinders,engine_displacement,fleet,frame_damaged,franchise_dealer,franchise_make,front_legroom,fuel_tank_volume,has_accidents,height,interior_color,isCab,listing_color,major_options,power,salvage,savings_amount,seller_rating,sp_id,sp_name,theft_title,torque,transmission_display,trimId,vehicle_damage_category,wheel_system,wheel_system_display,wheelbase,width
237132766,ZACNJABB5KPJ92081,35.1 in,,,,,I4,1300,,,TRUE,Jeep,41.2 in,12.7 gal,,66.5 in,Black,,YELLOW,['Quick Order Package'],"177 hp @ 5,750 RPM",,0,2.8,370599,Flagship Chrysler,,"200 lb-ft @ 1,750 RPM",9-Speed Automatic Overdrive,t83804,,FWD,Front-Wheel Drive,101.2 in,79.6 in
265946296,SALCJ2FX1LH858117,38.1 in,,,,,I4,2000,,,TRUE,Land Rover,39.1 in,17.7 gal,,68 in,Black (Ebony),,BLACK,['Adaptive Cruise Control'],"246 hp @ 5,500 RPM",,0,3,389227,Land Rover San Juan,,"269 lb-ft @ 1,400 RPM",9-Speed Automatic Overdrive,t86759,,AWD,All-Wheel Drive,107.9 in,85.6 in
173473508,JF1VA2M67G9829723,35.4 in,,,,,H4,2500,FALSE,FALSE,TRUE,FIAT,43.3 in,15.9 gal,FALSE,58.1 in,None,FALSE,UNKNOWN,"['Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Heated Seats']","305 hp @ 6,000 RPM",FALSE,0,,370467,FIAT de San Juan,FALSE,"290 lb-ft @ 4,000 RPM",6-Speed Manual,t58994,,AWD,All-Wheel Drive,104.3 in,78.9 in
266911050,SALRR2RV0L2433391,37.6 in,,,,,V6,3000,,,TRUE,Land Rover,39 in,23.5 gal,,73 in,Gray (Ebony/Ebony/Ebony),,GRAY,,"340 hp @ 6,500 RPM",,0,3,389227,Land Rover San Juan,,"332 lb-ft @ 3,500 RPM",8-Speed Automatic Overdrive,t86074,,AWD,All-Wheel Drive,115 in,87.4 in
270957414,SALCJ2FXXLH862327,38.1 in,,,,,I4,2000,,,TRUE,Land Rover,39.1 in,17.7 gal,,68 in,Black (Ebony),,BLACK,['Adaptive Cruise Control'],"246 hp @ 5,500 RPM",,0,3,389227,Land Rover San Juan,,"269 lb-ft @ 1,400 RPM",9-Speed Automatic Overdrive,t86759,,AWD,All-Wheel Drive,107.9 in,85.6 in
262940541,SALYK2EX1LA261711,37.1 in,,,,,I4,2000,FALSE,FALSE,TRUE,Land Rover,40.2 in,16.6 gal,FALSE,66.3 in,Brown (Ebony / Ebony),FALSE,UNKNOWN,"['Leather Seats', 'Sunroof/Moonroof', 'Navigation System', 'Adaptive Cruise Control', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start']","247 hp @ 5,500 RPM",FALSE,0,3,389227,Land Rover San Juan,FALSE,"269 lb-ft @ 1,200 RPM",8-Speed Automatic Overdrive,t85614,,AWD,All-Wheel Drive,113.1 in,84.4 in
244110426,3MZBPABL6KM107908,35.1 in,,,,,I4,2500,,,TRUE,Jeep,42.3 in,13.2 gal,,56.9 in,Black,,SILVER,"['Alloy Wheels', 'Bluetooth', 'Backup Camera']","186 hp @ 6,000 RPM",,0,2.8,370599,Flagship Chrysler,,"186 lb-ft @ 4,000 RPM",6-Speed Automatic Overdrive,t85256,,FWD,Front-Wheel Drive,107.3 in,70.7 in
275458784,SALYK2EX5LA275434,37.1 in,,,,,I4,2000,,,TRUE,Land Rover,40.2 in,16.6 gal,,66.3 in,White (Eclipse / Ebony / Ebony),,WHITE,['Adaptive Cruise Control'],"247 hp @ 5,500 RPM",,0,3,389227,Land Rover San Juan,,"269 lb-ft @ 1,200 RPM",8-Speed Automatic Overdrive,t85614,,AWD,All-Wheel Drive,113.1 in,84.4 in
266911040,SALCJ2FX6LH858128,38.1 in,,,,,I4,2000,,,TRUE,Land Rover,39.1 in,17.7 gal,,68 in,Black (Ebony),,GRAY,"['Navigation System', 'Backup Camera', 'Blind Spot Monitoring']","246 hp @ 5,500 RPM",,0,3,389227,Land Rover San Juan,,"269 lb-ft @ 1,400 RPM",9-Speed Automatic Overdrive,t86759,,AWD,All-Wheel Drive,107.9 in,85.6 in
238225156,SALZL2GX4LH007593,33.8 in,,,,,I4,2000,FALSE,FALSE,TRUE,Land Rover,40 in,17.7 gal,FALSE,64.9 in,Eclipse/Ebony,FALSE,WHITE,"['Leather Seats', 'Navigation System', 'Adaptive Cruise Control', 'Alloy Wheels', 'Bluetooth', 'Backup Camera', 'Remote Start', 'Blind Spot Monitoring']","296 hp @ 5,500 RPM",FALSE,0,3,389227,Land Rover San Juan,FALSE,"295 lb-ft @ 1,600 RPM",9-Speed Automatic Overdrive,t85531,,AWD,All-Wheel Drive,105.6 in,82.7 in
